edep_keV,y_keV_um,z_mGy
0.623825,0.155956,0.883733
0.273635,0.0684086,0.38764
0.396462,0.0991155,0.561642
0.782611,0.195653,1.10867
1.03053,0.257633,1.45989
0.785473,0.196368,1.11273
0.889789,0.222447,1.26051
0.889704,0.222426,1.26039
0.431341,0.107835,0.611053
0.197679,0.0494198,0.28004
0.448939,0.112235,0.635982
0.312535,0.0781339,0.442749
0.621361,0.15534,0.880243
0.864104,0.216026,1.22412
4.95754,1.23938,7.02302
1.72305,0.430762,2.44093
0.890467,0.222617,1.26147
1.03044,0.257609,1.45975
1.03038,0.257595,1.45967
4.42027,1.10507,6.2619
0.890569,0.222642,1.26161
0.306367,0.0765918,0.43401
8.32345,2.08086,11.7913
8.32525,2.08131,11.7938
0.34482,0.086205,0.488484
0.588607,0.147152,0.833842
1.12311,0.280779,1.59104
0.907697,0.226924,1.28587
0.300074,0.0750186,0.425096
0.792259,0.198065,1.12234
8.3268,2.0817,11.796
0.311805,0.0779513,0.441714
0.908299,0.227075,1.28673
0.535016,0.133754,0.757923
0.891113,0.222778,1.26238
8.32315,2.08079,11.7909
0.748652,0.187163,1.06057
0.890135,0.222534,1.261
0.191878,0.0479696,0.271822
0.413162,0.10329,0.585299
0.035592,0.00889799,0.0504208
0.17533,0.0438324,0.248378
1.31555,0.328888,1.86366
8.32517,2.08129,11.7937
4.14588,1.03647,5.87319
8.32504,2.08126,11.7935
8.32825,2.08206,11.7981
0.544258,0.136065,0.771015
7.57856,1.89464,10.7361
0.908918,0.227229,1.28761
1.07782,0.269456,1.52688
5.20663,1.30166,7.37589
0.711472,0.177868,1.0079
6.20127,1.55032,8.78493
1.33289,0.333223,1.88822
1.0304,0.257599,1.4597
0.40185,0.100463,0.569275
0.351809,0.0879522,0.498385
0.922927,0.230732,1.30745
0.329597,0.0823993,0.466919
8.32759,2.0819,11.7972
8.32849,2.08212,11.7984
8.32478,2.0812,11.7932
8.32329,2.08082,11.7911
1.03037,0.257592,1.45966
8.32456,2.08114,11.7929
4.13424,1.03356,5.85671
1.96282,0.490705,2.7806
8.3235,2.08087,11.7914
0.0248005,0.00620012,0.0351332
2.92469,0.731172,4.14321
0.103685,0.0259213,0.146884
1.03073,0.257683,1.46017
0.38051,0.0951276,0.539044
0.271399,0.0678499,0.384474
8.32809,2.08202,11.7979
0.889935,0.222484,1.26071
0.314737,0.0786842,0.445867
8.32819,2.08205,11.798
5.52715,1.38179,7.82995
1.27179,0.317946,1.80166
0.749831,0.187458,1.06224
1.02933,0.257333,1.45819
0.862397,0.215599,1.2217
0.523716,0.130929,0.741915
8.32627,2.08157,11.7953
0.890461,0.222615,1.26146
0.889816,0.222454,1.26054
0.889846,0.222462,1.26059
1.2868,0.321699,1.82292
3.94658,0.986644,5.59086
1.08987,0.272468,1.54395
0.658985,0.164746,0.933541
0.630032,0.157508,0.892525
0.507194,0.126798,0.718508
8.32549,2.08137,11.7942
0.889913,0.222478,1.26068
0.149508,0.0373771,0.211799
8.32624,2.08156,11.7952
0.286142,0.0715356,0.405359
8.32507,2.08127,11.7936
0.824621,0.206155,1.16819
0.388934,0.0972335,0.550977
0.446269,0.111567,0.6322
0.80238,0.200595,1.13668
8.32478,2.0812,11.7932
0.140044,0.035011,0.198391
8.32587,2.08147,11.7947
0.890698,0.222675,1.26179
8.32828,2.08207,11.7981
1.02927,0.257317,1.4581
8.32433,2.08108,11.7925
0.854342,0.213585,1.21029
1.03028,0.257569,1.45953
0.157541,0.0393852,0.223178
0.908854,0.227213,1.28751
1.02641,0.256604,1.45405
1.33901,0.334753,1.89689
8.32599,2.0815,11.7949
0.20945,0.0523626,0.296715
0.941584,0.235396,1.33388
8.32735,2.08184,11.7968
0.890168,0.222542,1.26104
0.890781,0.222695,1.26191
1.10498,0.276244,1.56535
8.32532,2.08133,11.7939
8.32897,2.08224,11.7991
0.319062,0.0797655,0.451995
0.60386,0.150965,0.855449
8.32695,2.08174,11.7962
1.0565,0.264126,1.49668
0.387997,0.0969992,0.54965
0.347708,0.0869269,0.492575
0.891157,0.222789,1.26244
0.908764,0.227191,1.28739
0.452578,0.113144,0.641138
0.194766,0.0486915,0.275912
0.366777,0.0916943,0.519589
8.32583,2.08146,11.7947
0.890315,0.222579,1.26125
0.241462,0.0603656,0.342064
8.32629,2.08157,11.7953
0.640654,0.160164,0.907573
0.890488,0.222622,1.2615
12.8376,3.2094,18.1862
0.592931,0.148233,0.839967
1.03008,0.25752,1.45925
0.573944,0.143486,0.813069
8.32772,2.08193,11.7973
0.824107,0.206027,1.16746
1.03074,0.257686,1.46019
0.922906,0.230727,1.30742
8.32905,2.08226,11.7992
0.920714,0.230179,1.30432
0.219518,0.0548794,0.310977
0.388554,0.0971385,0.550439
0.133716,0.0334289,0.189426
1.56487,0.391218,2.21685
0.459176,0.114794,0.650485
0.371129,0.0927823,0.525755
2.96542,0.741355,4.20092
0.188521,0.0471303,0.267066
0.111224,0.0278059,0.157563
1.03048,0.257619,1.45981
0.830304,0.207576,1.17624
8.32551,2.08138,11.7942
0.908791,0.227198,1.28743
0.0195047,0.00487618,0.0276311
4.7916,1.1979,6.78794
0.795061,0.198765,1.12631
0.442455,0.110614,0.626797
0.33662,0.084155,0.476868
0.890491,0.222623,1.2615
0.891189,0.222797,1.26249
1.02985,0.257463,1.45892
0.890076,0.222519,1.26091
0.681143,0.170286,0.964932
3.13635,0.784088,4.44307
0.907996,0.226999,1.2863
3.68329,0.920822,5.21787
0.907539,0.226885,1.28565
8.32355,2.08089,11.7914
0.908368,0.227092,1.28683
0.891317,0.222829,1.26267
8.32622,2.08155,11.7952
8.47254,2.11814,12.0025
2.47199,0.617997,3.50191
8.32855,2.08214,11.7985
8.32657,2.08164,11.7957
0.965552,0.241388,1.36784
8.3261,2.08152,11.795
0.0507261,0.0126815,0.0718604
8.32747,2.08187,11.797
0.182159,0.0455397,0.258052
0.891044,0.222761,1.26228
8.32357,2.08089,11.7915
0.89061,0.222653,1.26167
0.696275,0.174069,0.986368
8.32743,2.08186,11.7969
0.242422,0.0606056,0.343424
8.32514,2.08128,11.7937
8.32471,2.08118,11.7931
5.58725,1.39681,7.91509
8.32604,2.08151,11.795
8.32353,2.08088,11.7914
4.01644,1.00411,5.68983
8.32563,2.08141,11.7944
0.588986,0.147246,0.834378
2.17193,0.542983,3.07683
0.123528,0.030882,0.174994
